file_name ; total_energy;total_F;total_SFM; speech; 
file stem1-14-stem1.wav ; 53.82668600746513;304.4966349206349;-1.0837381646363857; yes; 
file stem1-140-stem1.wav ; 52.58580467286819;380.1028571428571;-3.4863243807614928; yes; 
file stem1-141-stem1.wav ; 51.753479712452325;332.55989795918373;-3.434882942471517; yes; 
file stem1-142-stem1.wav ; 53.64009216329751;334.47353287981855;-3.720094370781999; yes; 
file stem1-143-stem1.wav ; 52.32168761751023;334.78206575963713;-3.46947076795784; yes; 
file stem1-144-stem1.wav ; 52.908392079245374;335.19093877551023;-3.6312991303217594; yes; 
file stem1-145-stem1.wav ; 52.156181137716594;349.04388888888894;-3.6068838119103286; yes; 
file stem1-146-stem1.wav ; 51.19213418996774;335.2060907029479;-3.7836941205499617; yes; 
file stem1-147-stem1.wav ; 50.271951505505776;334.2103333333334;-3.762647337365888; yes; 
file stem1-148-stem1.wav ; 51.53526267591405;334.1175510204082;-3.9151966814418944; yes; 
file stem1-149-stem1.wav ; 53.056859762236705;336.83422448979593;-3.7146303463327346; yes; 
file stem1-15-stem1.wav ; 54.1912830897105;307.7046258503401;-2.5520382217554425; yes; 
file stem1-150-stem1.wav ; 51.45864609374626;306.13775510204084;-3.230165129608862; yes; 
file stem1-151-stem1.wav ; 51.39035845030626;332.33404081632654;-3.3867029333084266; yes; 
file stem1-152-stem1.wav ; 53.06261561055524;336.95740589569164;-3.630360006072488; yes; 
file stem1-153-stem1.wav ; 52.31955487452406;338.2695306122449;-3.6089241046899065; yes; 
file stem1-154-stem1.wav ; 51.88549109209207;334.46390476190476;-3.4859729676456013; yes; 
file stem1-155-stem1.wav ; 51.82435569869673;363.27233560090707;-3.678903152044473; yes; 
file stem1-156-stem1.wav ; 51.80581145062466;334.0776054421769;-3.8051333286076794; yes; 
file stem1-157-stem1.wav ; 52.450995145154934;305.9854716553288;-3.432996346218799; yes; 
file stem1-158-stem1.wav ; 52.194125361413796;337.3041678004535;-3.5854524556739045; yes; 
file stem1-159-stem1.wav ; 52.197538609940864;331.9926802721088;-3.512759122011199; yes; 
file stem1-16-stem1.wav ; 53.17776630414753;345.42527891156465;-3.746851972018451; yes; 
file stem1-160-stem1.wav ; 52.5572405638755;332.90344671201814;-3.9677177354095625; yes; 
file stem1-161-stem1.wav ; 51.14438271422206;344.8544126984127;-3.617563070115875; yes; 
file stem1-162-stem1.wav ; 52.16218671878981;339.1412653061224;-3.9459313755442547; yes; 
file stem1-163-stem1.wav ; 52.77124883596793;336.0374693877551;-3.7664180919201486; yes; 
file stem1-164-stem1.wav ; 51.64770616590553;334.33873922902495;-3.652509759187208; yes; 
file stem1-165-stem1.wav ; 51.68327568582707;336.5545238095238;-3.3104179405633234; yes; 
file stem1-166-stem1.wav ; 53.38985118678194;314.78044444444447;-3.9501723397817825; yes; 
file stem1-167-stem1.wav ; 51.406478169359204;350.8235034013606;-3.363661771802882; yes; 
file stem1-168-stem1.wav ; 52.12957623592145;336.17580952380956;-3.5472070267186413; yes; 
file stem1-169-stem1.wav ; 52.63582842934827;333.57343990929706;-3.827672991750339; yes; 
file stem1-17-stem1.wav ; 53.49043530593964;304.41730385487523;-3.6143779769554096; yes; 
file stem1-170-stem1.wav ; 52.08794397013454;333.6813605442177;-3.635582271300312; yes; 
file stem1-171-stem1.wav ; 51.96001503276537;351.2567551020408;-3.886455220349483; yes; 
file stem1-172-stem1.wav ; 51.77259826799945;337.6116462585034;-3.5035647276862387; yes; 
file stem1-173-stem1.wav ; 52.29126972490132;336.4145646258503;-3.2797415840670463; yes; 
file stem1-174-stem1.wav ; 51.73079855664438;337.02453061224486;-3.5474760057965122; yes; 
file stem1-175-stem1.wav ; 52.76769353416618;334.5222222222222;-3.6350521073305058; yes; 
file stem1-176-stem1.wav ; 52.11745919668052;340.7545215419501;-3.3517708399988835; yes; 
file stem1-177-stem1.wav ; 52.40063501806707;334.3365306122449;-3.6673666486725907; yes; 
file stem1-178-stem1.wav ; 51.584758562485646;366.6740498866213;-3.5677917499835132; yes; 
file stem1-179-stem1.wav ; 52.721703911276194;338.66908616780046;-3.401551178545416; yes; 
file stem1-18-stem1.wav ; 53.22327784359191;330.8349795918367;-3.5721063511189572; yes; 
file stem1-180-stem1.wav ; 53.077946569392786;334.6604081632653;-3.3564189056600497; yes; 
file stem1-181-stem1.wav ; 52.10651162039394;336.7765850340136;-3.649243724504284; yes; 
file stem1-182-stem1.wav ; 51.7112967885041;354.8584761904762;-3.6873676138343847; yes; 
file stem1-183-stem1.wav ; 52.55558025028897;338.29802040816327;-3.672125447015843; yes; 
file stem1-184-stem1.wav ; 51.66110872023379;335.6948117913832;-3.34398355634492; yes; 
file stem1-185-stem1.wav ; 52.01962775571732;331.3843537414966;-3.8199893358837804; yes; 
file stem1-186-stem1.wav ; 51.78880815008863;335.0070204081632;-3.7484695382797706; yes; 
file stem1-187-stem1.wav ; 51.50863509441697;337.02306575963723;-3.3192566032303605; yes; 
file stem1-188-stem1.wav ; 52.233659761674;315.23816780045354;-3.454986053652617; yes; 
file stem1-189-stem1.wav ; 51.12761563783931;336.1344285714286;-3.6823900793016744; yes; 
file stem1-19-stem1.wav ; 52.63949552530397;335.54450340136054;-3.586251955555216; yes; 
file stem1-190-stem1.wav ; 51.72469526012027;335.74029478458056;-3.346141555454173; yes; 
file stem1-191-stem1.wav ; 52.809830886065406;348.0007142857143;-3.7202706017566465; yes; 
file stem1-192-stem1.wav ; 52.03678923997839;336.35806802721083;-3.482217642337087; yes; 
file stem1-193-stem1.wav ; 52.58677642760371;340.2827301587302;-3.416526294909429; yes; 
file stem1-194-stem1.wav ; 51.16758825113554;337.1767755102041;-3.536105688072754; yes; 
file stem1-195-stem1.wav ; 51.999485328795934;311.97340136054424;-3.7504522240252585; yes; 
file stem1-196-stem1.wav ; 52.781337751256245;335.0826666666666;-3.7136947777598883; yes; 
file stem1-197-stem1.wav ; 51.44500511093205;335.3915714285714;-3.608484653821961; yes; 
file stem1-198-stem1.wav ; 54.242292061747186;343.0332653061225;-3.9193879997132757; yes; 
file stem1-199-stem1.wav ; 52.380819570719666;335.9089705215419;-3.5457917739613163; yes; 
file stem1-2-stem1.wav ; 54.26081985725426;345.7156780045351;-1.483195394090073; yes; 
file stem1-20-stem1.wav ; 52.07010132231414;315.1428571428571;-3.5218529429743963; yes; 
file stem1-200-stem1.wav ; 51.17404002695926;339.030612244898;-3.521599115591432; yes; 
file stem1-201-stem1.wav ; 53.187270144796464;306.28968027210885;-3.1175593520134295; yes; 
file stem1-202-stem1.wav ; 52.50266893033726;339.9500408163265;-3.662616881931868; yes; 
file stem1-203-stem1.wav ; 53.279498766528064;333.3273333333333;-3.3479589012045246; yes; 
file stem1-204-stem1.wav ; 51.12649889046904;339.965387755102;-3.3233079240322305; yes; 
file stem1-205-stem1.wav ; 50.93171938052754;334.44749433106574;-3.553345468332589; yes; 
file stem1-206-stem1.wav ; 52.45582691390096;335.76111564625853;-3.7030831597124294; yes; 
file stem1-207-stem1.wav ; 51.07721128586317;353.5517755102041;-3.7135437541629823; yes; 
file stem1-208-stem1.wav ; 51.59676888025564;334.47014058956916;-3.8305692095906103; yes; 
file stem1-209-stem1.wav ; 51.017196195600675;311.8710566893424;-3.402680925615956; yes; 
file stem1-21-stem1.wav ; 51.83969609995652;313.5492380952381;-3.5373121452573786; yes; 
file stem1-210-stem1.wav ; 52.341178226936364;378.89571428571423;-3.8380554489996306; yes; 
file stem1-211-stem1.wav ; 50.88461728374399;333.2870453514739;-3.382819680628939; yes; 
file stem1-212-stem1.wav ; 52.30552229079392;338.8210068027211;-3.5757119594504347; yes; 
file stem1-213-stem1.wav ; 52.69786525043466;337.6228571428572;-3.8203896627255958; yes; 
file stem1-214-stem1.wav ; 52.023084436664284;336.5251383219955;-3.4566825024443943; yes; 
file stem1-215-stem1.wav ; 51.75575275740625;338.944433106576;-3.251251565769687; yes; 
file stem1-216-stem1.wav ; 51.59253590576272;336.9422857142857;-3.5905026251078915; yes; 
file stem1-217-stem1.wav ; 51.53169396877405;341.07006349206347;-3.695213506305351; yes; 
file stem1-218-stem1.wav ; 52.04830280861288;338.76639002267575;-3.7242134339467903; yes; 
file stem1-219-stem1.wav ; 51.49061527506012;338.3720476190476;-3.522643536007252; yes; 
file stem1-22-stem1.wav ; 53.634063989916555;332.96602267573695;-3.7878898707385553; yes; 
