@relation no2-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {no,yes}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
no,6.326778,5.774205,6.176283,6.190433,6.60292,6.888908,6.645917,6.723216,6.734775,7.020975,6.932345,6.676275,6.399357
no,5.547047,4.233732,4.250908,4.074335,4.118593,4.111578,3.905276,3.997168,3.892013,3.895494,4.121416,4.390061,4.429115
no,4.896646,3.851429,4.147465,4.047672,4.215003,4.453478,4.296373,4.452561,4.540751,4.566607,4.766784,5.06029,5.149562
no,4.679526,4.065903,4.731568,4.900482,4.958777,5.19469,5.268186,5.228269,5.072877,5.056148,5.258153,5.350858,4.835436
no,6.086109,5.528975,5.944733,5.858688,6.165351,6.482145,6.178363,6.308044,6.396826,6.761203,6.67163,6.45645,6.228333
no,4.862561,4.040435,4.837823,4.752336,4.707721,4.967225,5.064695,5.156819,5.160099,5.147046,5.172541,5.399152,4.944616
no,4.700749,4.307149,4.94428,4.885853,4.697219,4.636178,4.461483,4.625683,4.73351,5.088895,5.285355,5.663491,5.338927
no,5.996753,4.592964,4.959596,4.613708,4.490806,4.681291,4.638602,4.89031,5.064513,5.449462,5.55596,5.765469,5.762428
no,7.08864,5.885027,6.278824,6.14594,6.288577,6.556395,7.00898,6.844852,7.144345,7.21101,6.979544,6.709937,6.545809
no,5.058616,3.918984,4.231233,4.068374,4.267578,4.557386,4.596862,4.773441,4.862117,4.978773,5.018702,5.248993,5.3236
no,4.550123,4.384222,5.114137,5.311666,5.312683,5.267413,5.026845,5.063315,5.069593,5.384373,5.48638,5.708117,5.389379
no,4.816282,3.756872,4.051554,3.903589,4.032597,4.299509,4.340962,4.587355,4.750295,4.98334,5.098176,5.340855,5.435536
no,6.273739,5.796396,6.37116,6.379563,6.224543,6.358441,6.262871,6.543875,7.017954,7.362036,7.319526,7.525897,6.865232
no,4.610309,4.301423,4.99176,5.10625,4.960067,4.893884,4.739303,4.901986,4.967555,5.349873,5.52002,5.810065,5.464779
no,6.512902,5.56048,5.912018,5.778629,5.986505,6.240005,6.396357,6.648471,6.793953,6.85986,7.077292,7.273485,7.235597
no,5.453216,4.398057,4.622878,4.668665,4.89245,5.419171,5.586728,5.790129,5.749788,5.968074,6.232522,6.491312,6.464969
no,6.101655,4.994899,5.243979,5.33613,5.739213,6.22456,6.255906,6.479354,6.420052,6.604685,6.83508,7.085105,7.100965
no,5.241518,4.4648,4.796039,4.946689,5.227848,5.659019,5.787109,5.972465,5.917667,6.006557,6.181151,6.34818,6.063263
no,5.538035,5.217037,6.00597,6.199854,6.334562,6.404348,6.310731,6.424794,6.333229,6.705618,7.049045,7.440591,7.119502
no,5.706378,4.808295,5.254354,5.145131,5.397271,5.715346,5.910192,6.105657,6.115068,6.350965,6.668847,6.853355,6.807739
