speechJ,pitch1,pitch2,jitt1,jitt2,jitt3,jitt4,jitt5,shim1,shim2,shim3,shim4,shim5,shim6,filename
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och04.wav
0,298.134,0.04,0.060250000000000005,0.000175433,3.717,0,0.1115,0.15575,1.356,0,0,0,0,11_och05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och08.wav
0,259.165,0.115,0,0,0,0,0,0,0,0,0,0,0,11_och09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och10.wav
0,277.072,10.316,0.07815000000000001,0.000293977,5.891,0,0.17672000000000002,0.32154000000000005,2.469,0.01867,0,0,0.056010000000000004,11_pch01.wav
0,278.92,11.447,0.11838,0.000403276,4.17,0.03772,0.1251,0.35756,2.696,0,0,0,0,11_pch02.wav
0,276.944,9.251,0.09101000000000001,0.000334981,5.934,0.08577,0.17800999999999997,0.24531,2.023,0.06847,0.13818,0,0.2054,11_pch03.wav
0,274.568,2.415,0.12199,0.000424487,6.926,0.059699999999999996,0.20777,0.17437000000000002,1.427,0.06018,0.12761,0,0.18055,11_pch04.wav
0,276.154,9.523,0.10532,0.000354748,6.564,0.0665,0.19693000000000002,0.30327000000000004,1.799,0.14105,0,0,0.42314,11_pch05.wav
0,277.962,9.055,0.06463,0.000229223,3.744,0.05371000000000001,0.11231000000000001,0.16715,1.491,0.05366,0.04571,0,0.16097000000000003,11_pch06.wav
0,277.446,9.909,0.0658,0.000240339,4.483,0.04841,0.13448000000000002,0.27743,2.289,0.12328,0.22015,0,0.36983,11_pch07.wav
0,279.339,11.023,0.09681,0.000339576,3.956,0.08425,0.11867000000000001,0.20437000000000002,1.799,0.09412000000000001,0.11914999999999999,0,0.28236,11_pch08.wav
0,281.591,11.081,0.10071999999999999,0.000355708,4.348,0,0.13045,0.20561000000000001,1.512,0.006830000000000001,0,0,0.020499999999999997,11_pch09.wav
0,277.859,10.405,0.058339999999999996,0.000198126,3.441,0.034460000000000005,0.10324,0.22168,2.079,0.11448000000000001,0,0,0.34345,11_pch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_ch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_dch01.wav
0,295.769,3.471,0.08892,0.000300611,4.972,0,0.14915,0.18678999999999998,1.306,0.08067,0,0,0.242,12_dch02.wav
0,290.205,2.977,0.159,0.000697978,8.4,0.02706,0.25199000000000005,0.27899,1.586,0.15554,0,0,0.46662,12_dch03.wav
0,288.772,1.706,0.06909,0.000271821,3.098,0.07849,0.09295,0.12244999999999999,1.046,0.08163000000000001,0,0,0.24489999999999998,12_dch04.wav
0,206.999,62.746,0.07645,0.000387241,4.97,0.07245,0.14909,0.17125,1.395,0,0,0,0,12_dch05.wav
0,208.496,60.869,0.14563,0.00076611,2.154,0,0.06461,0.13899,1.175,0.13330999999999998,0,0,0.39994,12_dch06.wav
0,293.303,4.483,0.09357,0.000316692,6.619,0,0.19857,0.19486,1.762,0.04692,0,0,0.14076,12_dch07.wav
0,288.621,2.956,0.0864,0.000291816,5.321,0.04983,0.15962,0.24980000000000002,1.731,0.18779,0,0,0.56338,12_dch08.wav
0,208.943,74.625,0.08013,0.00034851,4.546,0.048,0.13638,0.31597000000000003,2.422,0.15161,0,0,0.45482999999999996,12_dch09.wav
0,294.111,4.666,0.09415,0.000315586,4.854,0.0501,0.14562,0.18084,1.493,0.07882,0,0,0.23646999999999999,12_dch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_hch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12_och10.wav
0,289.875,1.789,0.08119,0.000355465,3.164,0,0.09491,0.23018000000000002,2.008,0,0,0,0,12_pch01.wav
0,288.679,2.543,0.11818,0.000450223,3.997,0,0.11992000000000001,0.18739,1.632,0,0,0,0,12_pch02.wav
0,289.149,2.557,0.07554999999999999,0.000236655,4.668,0.06865,0.14005,0.3329,1.889,0,0,0,0,12_pch03.wav
0,289.832,2.829,0.08720000000000001,0.000340538,3.5870000000000006,0.056150000000000005,0.1076,0.11885,0.912,0.021570000000000002,0,0,0.0647,12_pch04.wav
0,288.698,2.185,0.1506,0.000568463,7.882,0,0.23646,0,0,0,0,0,0,12_pch05.wav
0,289.966,1.754,0.031120000000000002,0.000105209,1.163,0.002,0.03489,0.13917,1.053,0.11988,0,0,0.35963,12_pch06.wav
0,290.424,2.401,0.07003999999999999,0.000221101,2.745,0.0796,0.08236,0.14754,1.318,0.07568,0,0,0.22704999999999997,12_pch07.wav
0,289.186,2.841,0.11016000000000001,0.000376965,3.421,0.13128,0.10262,0.16994,1.462,0.12701,0,0,0.38103000000000004,12_pch08.wav
0,289.993,1.14,0.12908,0.00044382,11.753,0,0.35259999999999997,0.13951,1.57,0,0,0,0,12_pch09.wav
0,289.322,2.327,0.07058,0.000335898,3.543,0,0.10629,0.00179,0.011,0,0,0,0,12_pch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_ch10.wav
0,198.365,3.404,0.07093,0.000366267,3.3680000000000003,0.04977,0.10103999999999999,0.20152,1.845,0.10585000000000001,0,0,0.31755,13_dch01.wav
0,197.884,1.799,0.07559,0.000383127,3.9280000000000004,0.053090000000000005,0.11784000000000001,0.19997,1.873,0.042859999999999995,0.15542999999999998,0,0.12859,13_dch02.wav
0,197.991,1.872,0.055999999999999994,0.000283145,3.3940000000000006,0.039420000000000004,0.10183,0.26584,2.337,0.11559,0.26838,0,0.34676,13_dch03.wav
0,198.429,1.884,0.05727,0.000289491,3.2390000000000003,0.041479999999999996,0.09716,0.25078,2.051,0.13521000000000002,0.11753000000000001,0,0.40563000000000005,13_dch04.wav
0,198.085,1.929,0.07128,0.00036171,3.7190000000000003,0.05683,0.11158,0.23282,2.171,0.09758,0.13475,0,0.29275,13_dch05.wav
0,197.599,1.142,0.06671,0.000336167,3.495,0.043440000000000006,0.10485,0.20484000000000002,1.612,0.14182,0.0934,0,0.42546,13_dch06.wav
0,197.908,2.191,0.052320000000000005,0.000263524,3.015,0.04583,0.09045,0.19033000000000003,2.034,0.09441000000000001,0.16578,0,0.28323000000000004,13_dch07.wav
0,197.686,2.356,0.03438,0.000173084,1.6179999999999999,0.021640000000000003,0.04853,0.25824,2.158,0.12265000000000001,0.15205,0,0.36795,13_dch08.wav
0,198.602,2.305,0.06745,0.000343161,3.6160000000000005,0.044050000000000006,0.10848000000000001,0.19571000000000002,1.663,0.102,0.14608000000000002,0,0.306,13_dch09.wav
0,197.821,1.167,0.05838,0.000293558,3.386,0.04858,0.10157000000000001,0.20797000000000002,1.539,0.14336000000000002,0.24879,0,0.43007,13_dch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_hch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_och10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch08.wav
0,228.201,4.692,0,0,0,0,0,0,0,0,0,0,0,13_pch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13_pch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_ch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_dch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_hch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14_och08.wav
