speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12
yes,134.165.652.364,120.255.341.114,104.953.978.253,10.489.934.191,987.414.962.626,972.496.092.924,925.262.432.559,896.850.741.977,856.537.893.494,828.912.410.696,809.200.583.496,800.888.434.764,79.319.792.353
yes,856.145.701.376,874.876.894.972,874.931.091.521,863.068.990.061,887.762.036.737,881.958.128.869,853.738.222.054,894.598.216.563,96.975.143.735,996.918.210.582,953.707.456.262,101.513.534.748,105.643.195.609
yes,457.813.600.835,446.851.102.014,481.939.204.555,471.712.543.119,482.550.641.586,49.710.815.726,488.227.363.319,518.122.936.575,517.234.235.651,535.033.318.415,6.069.736.238,633.590.508.492,650.923.856.588
yes,463.627.606.155,548.449.822.484,606.713.953.532,595.857.703.795,684.558.977.729,704.699.887.074,63.612.315.479,679.650.409.411,686.558.033.262,63.887.884.608,595.776.708.036,658.604.457.194,677.878.905.842
yes,176.695.206.552,303.743.673.184,415.748.297.302,424.059.342.599,441.382.204.365,464.544.651.185,51.469.166.127,546.284.997.109,50.445.632.944,54.856.895.898,581.045.776.296,620.971.145.956,603.832.734.814
yes,847.157.580.618,839.293.966.508,896.935.249.828,856.170.616.763,887.380.183.549,862.949.500.856,862.581.303.404,893.565.343.209,874.216.381.074,864.483.699.018,883.240.881.441,936.548.739.918,947.696.356.684
yes,125.967.129.603,253.723.284.812,44.917.382.345,437.432.069.033,413.212.082.647,418.654.134.997,416.022.245.725,453.711.863.114,456.737.669.035,485.067.646.536,496.248.852.357,522.765.778.995,49.325.372.375
yes,61.752.220.978,532.490.261.559,560.709.723.782,542.413.620.467,522.815.576.317,531.483.603.822,49.352.767.414,538.460.369.763,558.235.070.617,561.873.475.996,6.047.554.353,644.071.345.888,640.925.535.866
yes,868.133.382.216,705.932.624.458,708.180.406.092,697.409.924.068,704.407.640.529,659.184.962.083,61.201.847.419,66.255.013.016,635.915.305.249,685.400.067.304,784.474.576.843,891.238.784.177,912.806.888.898
yes,965.273.831.793,860.694.830.978,876.606.341.438,852.973.925.566,83.532.388.193,815.133.681.487,792.574.916.993,831.735.159.916,872.824.144.942,911.457.280.215,989.087.471.713,104.486.352.483,108.638.436.366
yes,110.298.474.674,98.418.557.029,101.280.797.508,10.173.766.422,101.432.409.624,100.927.124.575,100.416.332.667,103.175.694.511,106.010.600.578,109.548.755.114,115.193.924.613,116.082.074.678,117.135.165.917
yes,576.155.873.587,693.160.694.594,755.919.088.017,720.658.780.607,706.576.472.799,719.996.382.942,665.600.642.133,699.275.525.371,71.644.055.241,770.622.786.067,812.029.664.654,800.015.126.359,81.944.179.851
yes,719.955.322.022,643.814.195.894,615.494.386.711,587.498.169.954,584.353.889.261,625.901.000.533,586.652.458.882,576.831.257.898,620.140.852.265,648.061.227.601,67.522.423.524,664.068.107.666,700.909.334.632
yes,72.985.323.847,756.551.627.819,833.250.254.147,863.953.465.321,885.361.586.686,891.461.243.823,918.432.626.365,953.629.503.497,998.431.619.198,102.032.495.587,104.511.012.189,10.805.219.809,109.088.975.725
yes,550.129.802.751,576.223.775.904,638.944.701.329,653.867.634.301,57.282.231.585,528.886.224.296,500.738.937.158,545.931.827.906,560.188.853.503,607.892.583.662,653.334.310.328,63.397.779.638,580.291.272.888
yes,123.182.381.345,182.323.489.743,340.053.679.971,359.339.052.436,361.402.204.565,32.186.981.223,341.130.471.245,461.291.859.756,507.291.407.048,423.731.010.143,322.840.211.476,359.268.829.338,387.319.685.859
yes,237.986.456.643,250.277.991.812,260.115.972.582,266.930.659.771,280.148.168.307,288.084.516.919,275.278.022.719,307.172.306.522,345.119.169.362,399.482.342.872,423.074.751.462,483.588.249.768,516.718.385.212
yes,866.622.928.935,792.268.917.788,791.738.868.989,795.513.367.015,77.915.791.135,761.860.370.892,732.652.666.339,789.027.153.011,811.496.340.551,828.729.191.032,832.877.001.019,855.370.315.491,879.500.634.899
yes,670.840.355.974,749.920.176.973,917.224.371.023,893.257.261.956,876.522.138.952,874.205.800.907,951.475.573.099,101.259.381.049,103.204.713.856,104.769.980.018,1.058.706.613,107.894.916.765,111.144.774.656
yes,121.792.813.964,107.742.405.803,101.781.165.081,832.199.504.232,678.944.664.103,718.626.300.372,709.220.007.793,649.499.469.465,644.283.261.186,658.446.705.055,656.045.711.132,666.156.621.555,658.736.927.765
yes,731.829.823.247,765.249.605.372,742.506.061.728,734.222.474.446,787.229.106.944,768.607.017.112,756.879.139.369,81.344.120.322,876.473.878.454,891.411.215.817,860.940.595.044,882.357.194.155,919.553.432.348
yes,402.549.428.196,381.911.578.994,441.612.659.545,435.406.538.473,441.272.010.303,459.233.040.316,467.677.931.054,48.266.757.227,477.826.761.976,507.132.603.453,562.528.717.851,590.735.968.411,594.723.647.089
yes,461.661.725.724,479.081.026.555,528.433.869.653,490.608.178.966,560.426.026.985,620.821.885.101,539.978.784.868,5.720.238.873,593.646.772.705,568.148.438.385,553.139.249.557,568.109.872.185,587.980.433.727
yes,870.075.167.725,730.058.157.847,699.478.008.499,661.324.249.915,629.624.445.624,635.675.756.745,631.534.522.026,665.720.164.154,672.323.755.857,686.758.938.094,704.720.352.532,759.067.767.471,799.423.229.638
yes,0.336736153218,176.180.292.961,25.583.734.635,257.132.356.786,31.182.630.107,351.468.247.338,413.658.505.081,431.781.815.977,412.590.341.217,466.475.479.584,466.804.947.357,494.175.320.373,492.242.853.175
yes,690.753.188.734,663.028.705.256,729.778.159.286,70.869.597.591,703.394.588.699,699.654.573.066,707.683.455.799,737.244.755.015,764.803.473.533,765.638.343.298,759.691.463.875,803.240.232.757,828.294.131.733
yes,0.427494455648,169.744.506.457,376.517.111.627,328.555.074.941,325.291.408.407,346.036.662.235,339.503.148.612,386.692.306.071,38.156.858.251,413.466.719.441,418.349.637.959,430.388.534.012,420.865.726.651
yes,254.498.408.761,206.499.151.205,251.994.964.007,246.743.527.194,254.119.313.314,268.962.903.106,283.817.047.822,323.935.102.238,353.259.293.838,398.365.851.403,447.084.464.562,505.905.074.259,483.689.880.103
yes,465.806.988.913,344.928.212.741,37.257.927.462,365.117.689.882,342.995.268.151,360.234.999.425,369.456.310.452,43.396.258.379,491.207.740.463,500.369.892.215,53.725.956.352,549.203.395.771,5.583.913.194
yes,889.143.883.285,724.319.931.679,700.303.674.526,67.954.688.177,639.198.203.726,588.702.514.469,56.924.575.626,588.436.176.695,582.504.504.902,629.377.719.107,673.662.593.503,760.508.517.057,782.704.441.417
yes,833.629.776.347,729.264.195.166,756.493.578.597,740.701.467.238,69.784.008.542,680.441.031.275,674.688.230.786,716.019.561.513,766.267.785.608,808.321.855.967,859.662.742.001,911.571.256.392,958.082.015.007
yes,104.453.602.722,917.373.234.645,948.362.623.519,951.378.749.857,940.848.417.357,924.334.840.554,913.216.913.251,961.624.961.943,103.632.296.089,110.950.222.777,115.396.472.044,115.172.036.508,117.238.719.211
yes,546.580.515.747,667.887.065.457,705.154.318.223,658.433.497.572,649.658.850.331,662.218.744.011,641.208.057.407,680.195.587.747,701.983.426.314,741.916.608.984,749.865.198.349,744.384.591.067,751.020.509.164
yes,656.629.005.391,538.238.325.382,504.972.475.517,489.369.353.023,496.868.061.266,532.735.903.301,51.151.751.026,519.138.937.268,582.686.104.989,611.172.389.037,623.607.010.219,620.153.979.305,646.281.114.889
yes,912.770.371.558,727.858.916.453,791.449.661.384,658.416.549.606,70.932.215.616,706.195.866.412,612.994.320.066,661.945.436.417,697.229.214.833,694.713.043.667,682.263.312.128,738.743.953.657,709.081.612.844
yes,363.461.257.129,432.859.509.862,417.561.301.552,431.258.632.507,477.529.007.359,478.560.587.861,472.956.230.323,503.915.760.709,526.404.162.065,513.031.047.572,505.413.623.505,558.167.116.637,598.838.104.463
yes,90.393.113.169,836.283.352.943,843.703.241.331,826.567.996.402,863.208.628.061,855.298.450.615,83.873.472.565,87.836.049.548,855.493.945.986,837.294.549.905,850.223.453.786,887.747.322.726,898.774.007.531
yes,120.209.777.766,106.100.218.985,102.332.329.395,920.966.349.761,846.357.519.847,843.985.542.044,765.198.792.948,728.744.815.103,698.481.716.762,681.880.060.242,682.748.333.959,681.898.272.099,685.608.028.461
yes,520.140.139.443,522.616.311.822,569.388.045.469,590.380.154.825,590.502.838.041,588.469.246.417,584.597.030.539,581.255.123.319,547.196.634.781,560.586.442.917,628.964.010.278,655.937.477.362,677.318.782.726
yes,194.994.087.917,301.456.933.291,433.285.625.626,432.241.442.525,492.782.241.569,498.848.927.462,538.458.843.573,567.142.454.048,535.318.251.214,587.234.627.751,608.246.457.189,624.655.012.939,612.702.788.437
yes,420.557.869.857,381.243.756.474,423.645.317.942,392.666.484.408,444.228.430.264,446.888.229.234,433.695.241.798,445.375.225.868,43.306.868.259,466.163.821.185,540.592.171.154,626.742.868.106,580.510.218.752
yes,821.347.283.951,826.573.152.072,893.715.602.644,88.203.667.357,941.278.463.971,928.579.004.338,920.429.799.312,948.936.327.997,917.294.749.311,871.102.333.435,887.311.095.106,923.674.152.085,963.311.873.447
yes,157.907.574.821,268.194.228.023,457.066.226.182,440.593.286.738,403.589.789.874,432.788.108.523,419.434.833.994,451.547.598.259,446.342.581.505,459.448.198.494,453.622.884.662,472.268.773.568,450.808.234.607
yes,682.334.154.104,573.328.855.899,600.117.740.069,579.794.113.534,582.124.437.885,587.355.485.465,574.717.790.292,603.772.948.875,597.452.090.558,584.282.426.528,621.204.625.005,628.354.774.781,629.930.820.423
yes,881.115.943.683,705.553.495.097,680.319.271.035,660.037.265.619,697.347.207.672,662.611.233.621,643.511.452.748,663.550.393.102,594.160.970.576,608.780.343.306,694.144.806.829,793.154.437.088,799.813.508.645
yes,101.401.053.384,893.300.665.162,903.455.944.071,889.791.295.967,888.268.379.832,871.710.736.218,874.074.248.597,911.031.242.476,909.408.089.796,94.140.647.818,998.059.604.525,102.990.470.232,106.720.588.395
yes,117.405.686.403,107.489.432.887,108.116.042.273,108.278.770.949,112.258.149.036,112.205.588.184,111.382.538.593,118.829.568.833,120.694.434.895,122.926.399.207,126.323.712.275,127.678.792.333,129.343.573.077
yes,596.331.432.354,710.905.044.416,75.594.061.584,722.120.235.302,774.094.526.007,781.619.157.121,736.098.084.655,76.783.337.188,766.593.567.574,781.498.040.597,790.270.542.424,777.902.076.607,822.499.036.452
yes,812.384.348.914,823.425.053.665,874.284.292.833,927.161.788.785,975.647.843.196,971.958.783.668,100.365.832.471,101.932.630.147,998.145.533.278,988.983.158.133,101.297.624.343,107.063.887.147,109.509.812.681
yes,607.685.567.541,713.784.805.622,744.394.763.508,782.392.327.664,765.109.446.223,679.307.352.253,646.083.733.032,664.433.344.611,610.786.824.981,640.032.652.328,702.055.314.899,636.959.839.831,624.537.541.976
yes,735.138.886.048,6.578.678.721,613.240.757.553,61.031.262.441,643.178.058.994,670.021.214.464,627.912.536.756,617.371.874.244,64.986.814.609,667.529.284.575,68.853.226.136,66.815.517.175,704.448.367.046
yes,826.076.525.068,831.417.454.156,907.758.906.186,921.548.799.386,884.779.158.208,880.205.344.213,905.160.473.131,935.526.807.521,970.832.353.597,101.772.413.333,10.296.551.608,107.715.537.151,111.207.317.378
yes,583.899.350.862,677.284.899.847,792.660.215.179,75.671.299.574,616.639.002.399,55.110.336.082,529.982.152.961,572.047.545.687,591.397.296.013,633.407.129.262,700.635.589.096,697.098.657.015,653.790.368.976
yes,743.751.109.424,766.684.924.986,862.312.243.455,867.341.224.901,833.553.610.986,810.242.223.811,761.321.687.003,788.762.297.177,843.587.834.969,936.516.906.807,999.162.658.497,100.474.779.231,105.313.309.265
yes,369.658.131.518,429.910.009.277,431.607.560.224,446.097.363.756,436.934.730.091,433.764.526.631,418.204.139.726,43.860.633.802,487.029.146.036,547.760.603.448,583.439.087.971,645.032.633.262,687.523.913
